
























STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完璧
STR_CONFIG_SETTING_INFRA_OTHERS_BUY_IN_DEPOT_WATER              :競合他社による造船所での船舶の購入と更新: {STRING}
STR_CONFIG_SETTING_INFRA_OTHERS_BUY_IN_DEPOT_AIR                :競合他社による格納庫での航空機の購入と更新: {STRING}

STR_CONFIG_SETTING_TRAIN_SPEED_ADAPTATION                       :列車の速度適応: {STRING}
STR_CONFIG_SETTING_TRAIN_SPEED_ADAPTATION_HELPTEXT              :有効にすると速い列車が前方の遅い列車にあわせて速度を調整するようになります。

STR_CONFIG_SETTING_SLOW_ROAD_VEHICLES_IN_CURVES                 :カーブでの道路車両の減速: {STRING}
STR_CONFIG_SETTING_SLOW_ROAD_VEHICLES_IN_CURVES_HELPTEXT        :有効にすると道路車両がカーブで減速するようになります。 (現実的な加速度の使用時のみ)

STR_CONFIG_SETTING_SIMULATE_SIGNALS                             :橋梁やトンネルの信号をシミュレートする間隔: {STRING}ごと
STR_CONFIG_SETTING_SIMULATE_SIGNALS_HELPTEXT                    :新たに信号が設置される橋梁やトンネルの目標信号間隔を設定します。 均一ではない間隔になるのを避けるため実際の間隔はわずかに異なる場合があります。 この設定の変更が既に信号設置済みの橋梁やトンネルの信号の再設置を行うことはありません。
STR_CONFIG_SETTING_SIMULATE_SIGNALS_VALUE                       :{COMMA}タイル

STR_CONFIG_SETTING_DAY_LENGTH_FACTOR                            :日の長さ因数: {STRING}
STR_CONFIG_SETTING_DAY_LENGTH_FACTOR_HELPTEXT                   :ゲームのペースがこの因数によって遅くなります

STR_CONFIG_SETTING_TOWN_TUNNELS                                 :街のトンネル建設に対する許可: {STRING}
STR_CONFIG_SETTING_TOWN_TUNNELS_HELPTEXT                        :街にトンネル建設を許可する条件について設定します

###length 3
STR_CONFIG_SETTING_TOWN_TUNNELS_FORBIDDEN                       :禁止
STR_CONFIG_SETTING_TOWN_TUNNELS_ALLOWED_OBSTRUCTION             :軽微な障害に限り許可
STR_CONFIG_SETTING_TOWN_TUNNELS_ALLOWED                         :許可

STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE                          :町が建設する坂道の長さの制限: {STRING}
STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE_HELPTEXT                 :町が建設する傾斜のある道路タイルの継続性を制限します。街が山の斜面に沿って長く道路を伸ばす成長を防ぐのに有効です。
STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE_VALUE                    :{NUM} タイル
STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE_ZERO                     :無制限

STR_CONFIG_SETTING_ALLOW_TOWN_BRIDGES                           :街の橋梁建設に対する許可: {STRING}
STR_CONFIG_SETTING_ALLOW_TOWN_BRIDGES_HELPTEXT                  :有効にすると街が橋梁を建設することを許可します

STR_CONFIG_SETTING_INDUSTRY_CARGO_SCALE_HELPTEXT_EXTRA          :{STRING}{}これには林業は含まれません。{}すべての産業NewGRFと完全な互換性があることは保障されていません。

STR_CONFIG_SETTING_TOWN_CARGO_SCALE_MODE                        :街の貨物生産スケールの間隔: {STRING}
STR_CONFIG_SETTING_INDUSTRY_CARGO_SCALE_MODE                    :産業の貨物生産スケールの間隔: {STRING}

STR_CONFIG_SETTING_CARGO_SCALE_MODE_HELPTEXT                    :毎月: 貨物生産が月ごとにスケールします。{}{}ゲーム時間: 貨物生産がゲーム時間単位ごとにスケールします(月ごとの貨物生産は1日の長さ倍率によってもスケールします)。高すぎる倍率は達成できない場合があります。
STR_CONFIG_SETTING_INDUSTRY_CARGO_SCALE_MODE_HELPTEXT_EXTRA     :{STRING}{}ゲーム時間モードはすべての産業NewGRFと完全な互換性があることは保障されていません。

STR_CONFIG_SETTING_CARGO_SCALE_MODE_MONTHLY                     :毎月
STR_CONFIG_SETTING_CARGO_SCALE_MODE_GAME_TIME                   :ゲーム時間

STR_CONFIG_SETTING_CARGO_SCALE_VALUE_MONTHLY                    :{NUM}% (毎月)
STR_CONFIG_SETTING_CARGO_SCALE_VALUE_REAL_TIME                  :{NUM}% (ゲーム時間)

STR_CONFIG_SETTING_TOWN_ABOVE_HEIGHT                            :街がなくなる標高: {STRING}
STR_CONFIG_SETTING_TOWN_ABOVE_HEIGHT_HELPTEXT                   :マップ生成時に指定された以上の標高の場所に街が生成されなくなります。

STR_CONFIG_SETTING_MIN_TOWN_LAND_AREA                           :街の最小隣接土地面積: {STRING}
STR_CONFIG_SETTING_MIN_TOWN_LAND_AREA_HELPTEXT                  :街は、少なくともこれだけの数の隣接する陸地タイルにのみ配置できます。

STR_CONFIG_SETTING_MIN_CITY_LAND_AREA                           :都市の最小隣接土地面積: {STRING}
STR_CONFIG_SETTING_MIN_CITY_LAND_AREA_HELPTEXT                  :都市は少なくともこれだけの数の隣接する陸地タイルにのみ配置できます。

STR_CONFIG_SETTING_MIN_LAND_AREA_VALUE                          :{NUM}
STR_CONFIG_SETTING_MIN_LAND_AREA_ZERO                           :オフ

STR_CONFIG_SETTING_FLOOD_FROM_EDGES                             :マップの端から水で埋める: {STRING}
STR_CONFIG_SETTING_FLOOD_FROM_EDGES_HELPTEXT                    :マップの端から潮位のタイルに浸水するか設定します。

STR_CONFIG_SETTING_MAP_EDGE_MODE                                :マップ端の挙動: {STRING}
STR_CONFIG_SETTING_MAP_EDGE_MODE_HELPTEXT                       :マップの端が潮位よりも高くなることを許可するかどうか、またマップ外の虚無領域をどう描画するかを設定します

STR_CONFIG_SETTING_MAP_EDGE_MODE_DEFAULT                        :デフォルト
STR_CONFIG_SETTING_MAP_EDGE_MODE_SEA_LEVEL                      :マップの端を潮位に制限
STR_CONFIG_SETTING_MAP_EDGE_MODE_SEA_LEVEL_OUTSIDE_WATER        :マップの端を潮位に制限し、マップ外を水で描画する

STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE                        :亜寒帯の植林の調整: {STRING}
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_HELPTEXT               :亜寒帯気候における雪線付近の樹木の設置を調整します。 雪線を超えると木が疎になります。 雪線のすぐ下では寒帯の木と温帯の木が混在します。 それより下は温帯の木があります。
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_RANGE                  :寒帯の木の範囲: {STRING}
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_RANGE_HELPTEXT         :雪線周辺の寒帯の木のおおよその範囲
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_DYNAMIC_RANGE          :季節的な寒帯の木の雪線の幅: {STRING}
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_DYNAMIC_RANGE_HELPTEXT :季節で変化する雪線を使用する場合、寒帯の木を配置する雪線に適用する変化率をパーセントで指定します。0%で低い(冬)雪線が、100%で夏と冬の間全域で変動する雪線が適用されます。

STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS                           :街同士を接続する公道の建設: {STRING}
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_HELPTEXT                  :街同士を接続する公道を生成します。 大きなマップでは少し時間がかかります。 「カーブを避けて建設」はカーブを避けたとてもグリッド状な接続で生成されます。
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_NONE                      :しない (デフォルト)
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_WITH_CURVES               :カーブ有で建設
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_AVOID_CURVES              :カーブを避けて建設

STR_CONFIG_SETTING_TREE_GROWTH                                  :木の成長速度: {STRING}
STR_CONFIG_SETTING_TREE_GROWTH_HELPTEXT                         :ゲーム中の樹木の成長レートをコントロールします。 製材所などの木の成長に依存する産業に影響する可能性があります。
STR_CONFIG_SETTING_TREE_GROWTH_NORMAL                           :通常
STR_CONFIG_SETTING_TREE_GROWTH_SLOW                             :遅い
STR_CONFIG_SETTING_TREE_GROWTH_VERY_SLOW                        :とても遅い
STR_CONFIG_SETTING_TREE_GROWTH_EXTREMELY_SLOW                   :非常に遅い
STR_CONFIG_SETTING_TREE_GROWTH_STATIC                           :成長しない

STR_CONFIG_SETTING_TOWN_ZONES                                   :{ORANGE}カスタム街区域
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE                          :カスタム街区域計算の使用: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE_HELPTEXT                 :街によって生成される街区域の大きさの手動構成を許可します。 カスタム街区域設定のデフォルト値はデフォルトの街生成と同一です。 一部の区域では小さな変更のみ必要な一方、区域0は大きな値で特に恩恵を受けます。
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT                             :街区域0の乗数: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT_HELPTEXT                    :街区域0 (未舗装の最外周の道路)の乗数です。 この設定は大きな値の恩恵を受けます。
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT                             :街区域1の乗数: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT_HELPTEXT                    :街区域1 (外周の舗装道路)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT                             :街区域2の乗数: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT_HELPTEXT                    :街区域2 (外周の舗装道路)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT                             :街区域3の乗数: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT_HELPTEXT                    :街区域3 (内部の並木道)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT                             :街区域4の乗数: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT_HELPTEXT                    :街区域4 (中心地の街灯付道路)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_CITY_ZONE_0_MULT                             :市区域0の乗数: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_0_MULT_HELPTEXT                    :市区域0 (未舗装の最外周の道路)の乗数です。 この設定は大きな値の恩恵を受けます。
STR_CONFIG_SETTING_CITY_ZONE_1_MULT                             :市区域1の乗数: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_1_MULT_HELPTEXT                    :市区域1 (外周の舗装道路)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_CITY_ZONE_2_MULT                             :市区域2の乗数: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_2_MULT_HELPTEXT                    :市区域2 (外周の舗装道路)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_CITY_ZONE_3_MULT                             :市区域3の乗数: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_3_MULT_HELPTEXT                    :市区域3 (内部の並木道)の乗数です。 この設定は軽微な変更で最良の動作になります。
STR_CONFIG_SETTING_CITY_ZONE_4_MULT                             :市区域4の乗数: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_4_MULT_HELPTEXT                    :市区域4 (中心地の街灯付道路)の乗数です。 この設定は軽微な変更で最良の動作になります。

STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED                :輸送貨物による街の成長速度: {STRING}
STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED_HELPTEXT       :先月輸送した街の貨物の割合による街の成長速度のパーセンテージです。

STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION                   :ランダムな街路再構築の確率: {STRING}
STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION_HELPTEXT          :ランダムに街路を再構築する確率です (0 = オフ, 1000 = 最大)

STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM                      :貨物の支払いアルゴリズム: {STRING}
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_HELPTEXT             :貨物を目的地まで運んだときどれだけのお金が払われるか計算するための方法を選択します。
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_TRADITIONAL          :伝統的
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_MODERN               :現代

STR_CONFIG_SETTING_TICK_RATE                                    :ゲームティックレート: {STRING}
STR_CONFIG_SETTING_TICK_RATE_HELPTEXT                           :1ゲーム時が何ミリ秒に相当するかを設定します。
STR_CONFIG_SETTING_TICK_RATE_TRADITIONAL                        :30 ms/tick (伝統的)
STR_CONFIG_SETTING_TICK_RATE_MODERN                             :27 ms/tick (現代)

STR_CONFIG_SETTING_TOWN_MIN_DISTANCE                            :街の間の最短距離: {STRING}
STR_CONFIG_SETTING_TOWN_MIN_DISTANCE_HELPTEXT                   :マップ生成時とランダム配置時の街の最低限離隔距離をタイルで指定します

STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO                       :この貨物に対する上書き行先分配法: {STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_PARAM                 :{STRING}に対する上書き行先分配法: {STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_HELPTEXT              :「(デフォルト)」はこの貨物の種類のデフォルトの行先分配法を意味します。「対称」ではAからBへ向かう乗客とほぼ同数が、BからAに向かうようになります。 「非対称」ではそれぞれの方向に向かう旅客数は独立に決められます。「無効」では行き先別分配をしなくなります
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_DEFAULT               :(デフォルト)
STR_CONFIG_SETTING_DISTRIBUTION_HELPTEXT_EXTRA                  :{STRING}{}「非対称 (均等配分)」では合計で各受け入れ駅で同等量の貨物を受け取るように配分されます。 「非対称 (最寄り)」では一番近い貨物を受け入れ可能な駅に配分されます。

STR_CONFIG_SETTING_AIRCRAFT_PATH_COST                           :空路の距離スケール: {STRING}
STR_CONFIG_SETTING_AIRCRAFT_PATH_COST_HELPTEXT                  :航空機を利用する経路のコスト(距離指標)を、実際よりも長く/短く判定されるようにスケーリングします。これにより航空機を使用する直接の経路が過負荷になる傾向が軽減されます。

STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER          :マルチプレイで多国籍対応設定をサーバーと同期する: {STRING}
STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER_HELPTEXT :ネットワーククライアントとしてマルチプレイに参加する際、多国籍対応設定をサーバのものと一致させるために変更します

STR_CONFIG_SETTING_INTERFACE_DEPARTUREBOARDS                    :{ORANGE}発車標
STR_CONFIG_SETTING_INTERFACE_WALLCLOCK                          :{ORANGE}時刻
STR_CONFIG_SETTING_INTERFACE_TIME_CLIENT                        :{ORANGE}クライアント設定
STR_CONFIG_SETTING_INTERFACE_TIME_SAVEGAME                      :{ORANGE}セーブデータ設定
STR_CONFIG_SETTING_INTERFACE_TIMETABLE                          :{ORANGE}ダイヤ
STR_CONFIG_SETTING_INTERFACE_SIGNALS                            :{ORANGE}信号
STR_CONFIG_SETTING_INTERFACE_SAVE                               :{ORANGE}セーブ & 自動セーブ
STR_CONFIG_SETTING_INTERFACE_VEHICLE_WINDOWS                    :{ORANGE}輸送機器ウィンドウ
STR_CONFIG_SETTING_GENWORLD_RIVERS_LAKES                        :{ORANGE}河川と湖
STR_CONFIG_SETTING_ENVIRONMENT_CARGODIST_PER_CARGO_OVERRIDE     :{ORANGE}貨物配送先 - 貨物毎の上書き
STR_CONFIG_SETTING_VIEWPORT_MAP_OPTIONS                         :{ORANGE}マップモード
STR_CONFIG_SETTING_VEHICLE_ROUTE_OVERLAY                        :{ORANGE}輸送機器経路オーバーレイ
STR_CONFIG_SETTING_SHARING                                      :{ORANGE}インフラ共有
STR_CONFIG_SETTING_SCENARIO_EDITOR                              :{ORANGE}シナリオエディタ

STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE                  :道路レイアウト変更時に経路を変更: {STRING}
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_HELPTEXT         :道路レイアウトが変更された時に全道路車両で経路を変更するか設定します。{}これはパフォーマンスを犠牲にして道路レイアウトの変更に対する道路車両の応答性を改善することができます。{}「はい」に設定すると街の成長が道路車両の経路変更を引き起こすことで、大きなマップでゲーム速度が低下する可能性があることに注意してください。
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_NO               :しない
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_REMOVE_ONLY      :道路の撤去時のみ
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_YES              :する

STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS              :道路橋の陸との接合部のカスタム: {STRING}
STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS_HELPTEXT     :道路橋にカスタムの非直線の平らな出入口タイルを使用できるようにします
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS              :鉄道橋の陸との接合部のカスタム: {STRING}
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS_HELPTEXT     :鉄道橋にカスタムの非直線の平らな出入口タイルを使用できるようにします

STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES              :橋梁の下におけるすべてのNewGRFオブジェクトの配置を許可: {STRING}
STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES_HELPTEXT     :GRFで有効になっていなくてもすべてのNewGRFオブジェクトを橋梁の下に配置することを許可します。{}描画に問題が発生する場合があります。

STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES             :橋梁の下におけるNewGRF列車駅/中継点の配置を許可: {STRING}
STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES_HELPTEXT    :有効にすると橋梁の下に配置できるか指定されていないNewGRF列車駅/中継点を制限なく配置できるようになります。{}描画に問題が発生する場合があります。

STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES            :橋梁の下における道路/軌道駅の配置を許可: {STRING}
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT   :橋梁の下に道路/軌道の停留所を配置することを許可します。路側型停留所は1高度単位分の、湾型停留所は2高度単位分のクリアランスが必要です。
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT_EXTRA :{STRING}{}{}NewGRFの道路/軌道の停留所はこの設定をオーバーライドして橋梁の下における停留所配置の許可/拒否やカスタム高度クリアランスを設定している可能性があります。

STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES                    :橋梁の下における埠頭の配置を許可: {STRING}
STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES_HELPTEXT           :橋梁の下に埠頭を配置することを許可します。埠頭は2高度単位分のクリアランスが必要です。{}描画に問題が発生する場合があります。

STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED                      :土地の購入を許可: {STRING}
STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED_HELPTEXT             :会社による土地購入の許可およびどの程度まで許可するかを設定します

STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED                       :オブジェクトのバルク建設を許可: {STRING}
STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED_HELPTEXT              :一度に1つでなく範囲でオブジェクトを配置することを会社に許可します。

STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER                      :この年以降オブジェクトを旧式化しない: {STRING}
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_HELPTEXT             :オブジェクトがこの年以降に旧式化する場合は永久に利用可能になります
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_VALUE                :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_ZERO                 :オフ

STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES                    :オブジェクトが利用可能になる日付を無視する: {STRING}
STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES_HELPTEXT           :利用可能になる前にプレイヤーがオブジェクトを建設することを許可します。{}この設定はマップ生成時には適用されません。

STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES            :街路を家屋ではない種類に変換することを許可する: {STRING}
STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES_HELPTEXT   :街が所有する道路を家屋を許可しない種類の道路に変更することをプレイヤーに許可します。{}悪用すると街に家屋を全く建設させないことができ、街の縮小につながるためデフォルトでこの設定は無効になっています。

STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND                  :購入済みの土地に更地のタイルを使用する: {STRING}
STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND_HELPTEXT         :有効にすると、購入済みの土地を種類の同じ更地(草原、海岸、雪原、砂漠などの荒地)のタイルで描画します。

STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY                  :一次産業のみ生成する: {STRING}
STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY_HELPTEXT         :有効にすると、マップ生成時やプレイ中に一次産業のみ生成されるようになります。

STR_PURCHASE_LAND_PERMITTED_NO                                  :しない
STR_PURCHASE_LAND_PERMITTED_SINGLE                              :一度に1タイルで許可する
STR_PURCHASE_LAND_PERMITTED_AREA                                :一度に大きな範囲で許可する

STR_PURCHASE_LAND_NOT_PERMITTED                                 :土地購入が許可されていません
STR_PURCHASE_LAND_NOT_PERMITTED_BULK                            :大域の土地購入は許可されていません

STR_BUILD_OBJECT_NOT_PERMITTED_BULK                             :大域に対するオブジェクトの建設は許可されていません

STR_CONFIG_SETTING_ADJACENT_CROSSINGS                           :隣接する踏切を閉鎖する: {STRING}
STR_CONFIG_SETTING_ADJACENT_CROSSINGS_HELPTEXT                  :一つ以上が占有されている場合複線の隣接レベルの踏切を閉鎖します

STR_CONFIG_SETTING_SAFER_CROSSINGS                              :より安全なレベルの踏切: {STRING}
STR_CONFIG_SETTING_SAFER_CROSSINGS_HELPTEXT                     :道路車両の安全確保のために踏切レベルを変更します

STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE                       :修理費用を払う: {STRING}
STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE_HELPTEXT              :輸送機器の故障時に修理費用を支払います

STR_CONFIG_SETTING_REPAIR_COST                                  :輸送機器の修理費用: 輸送機器の価格の {STRING}分の1
STR_CONFIG_SETTING_REPAIR_COST_HELPTEXT                         :輸送機器の故障時に修理費用として輸送機器の現在の購入費用の何分の一を支払うかを指定します。費用は耐用年数以上使用している場合倍増します。

STR_CONFIG_OCCUPANCY_SMOOTHNESS                                 :指令積載率の測定の滑らかさ: {STRING}
STR_CONFIG_OCCUPANCY_SMOOTHNESS_HELPTEXT                        :0%は最新の計測値を設定し、100%はそのままにします

STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE                       :クローン/コピー/共有後に指令を進める: {STRING}
STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE_HELPTEXT              :既存の輸送機器からクローン/コピー/共有した後、指令リストの適切な指令に進めます。{}列車、道路車両及び船舶の場合: 輸送機器のいる車庫に行く指令が指令リストに存在する場合、その位置の指令まで指令をスキップします。{}航空機の場合: 航空機が格納庫にあり関連する空港が指令リストに含まれる場合、その空港の指令まで指令リストをスキップします。

STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP                      :輸送機器をコピー・クローン時にグループに追加する: {STRING}
STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP_HELPTEXT             :指令を共有せずクローンした輸送機器をコピー元輸送機器のグループに追加するかどうかを設定します。

STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION            :次の指令が現在の拠点と同じ場所の場合発進しない: {STRING}
STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION_HELPTEXT   :輸送機器の次の指令と現在の拠点が同じとき、拠点から出発する代わりにそのまま積載、荷下ろしを再度開始します。

STR_CONFIG_SETTING_SCENARIO_MULTIPLE_BUILDINGS                  :複数の教会/競技場を許可する: {STRING}
STR_CONFIG_SETTING_SCENARIO_MULTIPLE_BUILDINGS_HELPTEXT         :既に街に一つある場合でも教会や競技場を手動で配置することを許可します。

STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_DATES                  :家屋の年制限を無視する: {STRING}
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_DATES_HELPTEXT         :現在の日付では利用できない家屋を手動で配置することを許可します。
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_ZONES                  :家屋の区域制限を無視する: {STRING}
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_ZONES_HELPTEXT         :街区にそぐわない家屋を手動で配置することを許可します。
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_GRF                    :家屋のGRF制限を無視する: {STRING}
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_GRF_HELPTEXT           :GRFによって許可されていない場合でも家屋を手動で配置することを許可します。

STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_ZONES_OFF              :オフ
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_ZONES_WITHIN_TOWN      :街の中
STR_CONFIG_SETTING_SCENARIO_HOUSE_IGNORE_ZONES_ANYWHERE         :どこでも

STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS                   :オートフィルドラッグ中に既存の駅/中継点を通過する: {STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS_HELPTEXT          :信号をCtrl+ドラッグで設置したときの挙動を設定します。無効にすると、信号の配置は駅/中継点に達した時点で停止します。有効にすると、信号の設置が駅/中継点を通り越して行われます

STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED                   :{WHITE}設定を変更できません...
STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED_NEWGRF            :{WHITE}...NewGRFによって捕捉される設定です

STR_CONFIG_SETTING_TIMETABLE_IN_TICKS                           :ダイヤ時間に日ではなくティックを表示する: {STRING}
STR_CONFIG_SETTING_TIMETABLE_IN_TICKS_HELPTEXT                  :ダイヤの輸送時間を日付の代わりにゲームティックで表示します

STR_CONFIG_SETTING_PATHFINDER_FOR_TRAINS_HELPTEXT_EXTRA         :{STRING}{}いくつかの機能の利用には YAPF 経路探索アルゴリズムを利用する必要があります。次の機能はそれを必要とします: 経路制限 (すべての経路探索と予約関連のアクション)、中継点/信号で反転、ドライブスルー列車庫。

STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_CALENDAR           :{RED}[この設定はカレンダー時間管理モードでは無効です]
STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_WALLCLOCK          :{RED}[この設定は実時間準拠時間管理モードでは無効です]

STR_CHEAT_EDIT_MONEY_QUERY_CAPT                                 :{WHITE}預金残高を増やす又は減らす
STR_CHEAT_INFLATION_COST                                        :{LTBLUE}インフレ費用係数を次の値にする: {ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_COST_QUERY_CAPT                             :{WHITE}インフレ費用係数を変更します
STR_CHEAT_INFLATION_INCOME                                      :{LTBLUE}インフレ収益係数を次の値にする: {ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_INCOME_QUERY_CAPT                           :{WHITE}インフレ収益係数を変更します
STR_CHEAT_TOWN_RATING                                           :{LTBLUE}街の自治体の評価を最高に固定する: {ORANGE}{STRING}

STR_NETWORK_MESSAGE_GIVE_MONEY_RECEIVE                          :*** {STRING}があなたの会社に{2:CURRENCY_LONG}を譲渡しました
